Product_Category_1,Customers,Category_Penetration_%
1,5767,97.89509421150908
5,5751,97.62349346460702
8,5659,96.06178916992022
2,4296,72.9248005432015
6,4085,69.34306569343066
3,3838,65.1502291631302
11,3583,60.82159225937871
4,3361,57.05313189611272
16,3130,53.13189611271431
20,2550,43.28636903751485
15,2440,41.41911390256323
10,2328,39.51790867424885
13,2272,38.56730606009167
19,1603,27.210999830249534
12,1567,26.599898149719913
7,1461,24.800543201493806
18,1284,21.79595993888983
14,971,16.4827703276184
17,426,7.231369886267188
9,410,6.959769139365133
